scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),0.5108676888888929
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),4.967654763611151
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),6.583500524722274
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),6.881499015555611
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),6.709778861111165
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),6.427809134597274
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),6.13362848772227
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),6.355196541255606
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),6.984691122488944
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),7.722988931481451
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),8.830360052714514
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),9.513505129983965
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),10.929002366503976
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),13.443696115316774
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),16.042954558662906
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),17.819875670085697
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),19.140321426461544
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),20.22395953263516
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),21.21734293773906
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),22.105520408899064
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),22.895590481154628
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),23.54604141989824
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),22.383256666666846
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),66.37392521822275
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),97.98016354366744
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),99.3791048471119
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),95.4187714466952
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),96.36431529011077
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),101.09095556350748
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),110.07218746010115
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),115.90805320860454
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),126.9575857775413
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),133.30363194318355
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),146.20174512056673
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),156.75918193952347
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),171.69379415217608
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),183.06321625926702
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),194.69265776857515
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),209.4540411434586
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),229.54255081202794
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),242.08589071256804
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),260.4630226424868
