GEOID20,INTPTLAT,INTPTLON
310059583001000,41.7309813,-101.438985
310059583001001,41.7037679,-101.4768791
310059583001002,41.7345055,-101.5775114
310059583001003,41.7044485,-101.6363372
310059583001004,41.7316022,-101.6942031
310059583001005,41.7024105,-101.8448564
310059583001006,41.6422004,-101.9752063
310059583001007,41.6241783,-101.8775029
310059583001008,41.6560199,-101.7960197
310059583001009,41.6187352,-101.7288882
310059583001010,41.6433807,-101.6487987
310059583001011,41.668565,-101.5063852
310059583001012,41.543566,-101.773562
310059583001013,41.5718657,-101.6922634
310059583001014,41.5996114,-101.7832965
310059583001015,41.5368308,-101.9028359
310059583001016,41.5886918,-101.9554077
310059583001017,41.6350588,-101.9555619
310059583001018,41.6571729,-101.4270144
310059583001019,41.5551999,-101.5063508
310059583001020,41.6218073,-101.537028
310059583001021,41.4844767,-101.8418684
310059583001022,41.4890225,-101.9109849
310059583001023,41.4864979,-101.76737
310059583001024,41.5136043,-101.6887874
310059583001025,41.5216528,-101.6100076
310059583001026,41.4793532,-101.954823
310059583001027,41.4738832,-101.9733198
310059583001028,41.4579822,-101.9775914
310059583001029,41.4321151,-101.9523446
310059583001030,41.4671106,-101.9211414
310059583001031,41.4777572,-101.9092287
310059583001032,41.4744941,-101.8813537
310059583001033,41.4552144,-101.8846791
310059583001034,41.4459363,-101.903026
310059583001035,41.4408793,-101.7614502
310059583001036,41.4518514,-101.6712906
310059583001037,41.4525476,-101.5229941
310059583001038,41.5108956,-101.4201534
310059583001039,41.4328431,-101.4150102
310059583001040,41.4201998,-101.417754
310059583001041,41.413933,-101.9034932
310059583001042,41.449283,-101.8577238
310059583001043,41.4355292,-101.8266392
310059583001044,41.40193,-101.7424714
310059583001045,41.4145513,-101.6572242
