scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),0.5108676888888929
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),4.967654763611151
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),6.583500524722274
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),6.881499015555611
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),6.709778861111165
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),6.428245638230607
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),6.13375311896116
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),6.355341760513939
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),6.984695624111167
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),7.722465285924784
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),8.828537441334515
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),9.510808392604243
