scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),0.5108676888888929
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),4.967654763611151
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),6.583500524722274
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),6.881499015555611
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),6.709778861111165
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),6.715427601813943
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),6.515543687536163
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),6.656012355472275
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),7.085253029386167
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),7.5170473551222825
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),8.20513411432062
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),8.300397771351454
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),8.504005182955623
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),10.190727570209248
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),12.732912465698712
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),13.853588653848167
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),14.050426614085945
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),13.771644302669278
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),13.439130360386773
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),13.096041393423715
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),12.69747018806649
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),12.235524508761765
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),22.383256666666846
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),66.37392521822275
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),97.98016354366744
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),99.3791048471119
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),95.4187714466952
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),95.3602331267927
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),96.21878484145854
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),99.23593411025246
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),98.64573483108438
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),101.89231495286803
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),100.52524485023442
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),103.06428915392665
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),104.29243256150973
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),108.34177045835835
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),110.28981842030089
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),110.60561515774477
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),111.58782091527561
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),113.5601013706884
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),111.02310728581783
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),110.09378356784532
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),108.88871637734171
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),106.20209153526196
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),6.554045083333386
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),30.301613154416906
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),50.705033058361515
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),52.674071542792085
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),49.98759456180318
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),50.96392032884707
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),51.43664369112291
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),53.79532553045293
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),53.03027960305959
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),55.80942442792822
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),56.53275945862184
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),56.84724468299545
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),57.76733520788962
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),59.45575059189603
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),62.669189491283554
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),63.069599520488836
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),63.626571057598014
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),64.84408440582857
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),62.45817130085077
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),63.00156480519689
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),61.28971796921299
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),60.579688200754646
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),7.841880361111174
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),46.3210435238337
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),77.80509329611174
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),80.69246602361174
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),84.567331872834
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),93.11378386260353
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),98.11307238691744
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),102.41477258809027
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),106.21140692784807
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),110.56248416145698
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),115.75909728454786
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),118.19168176067927
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),122.08739936554264
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),123.86643547534905
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),129.63336854273797
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),130.73673983943826
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),130.38487121426104
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),130.2238577941838
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),130.25815128534853
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),127.33187158550462
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),125.83546485648044
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),121.86969000100625
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,CA,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),51.11200333611152
"rcp85hotter_ssp3,date=2024-3-6T20:01:59+17:00",USA,CA,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),234.88813119194631
