GEOID20,POP100
310059583001000,6
310059583001001,4
310059583001002,8
310059583001003,2
310059583001004,2
310059583001005,24
310059583001006,7
310059583001007,2
310059583001008,0
310059583001009,18
310059583001010,11
310059583001011,25
310059583001012,24
310059583001013,128
310059583001014,0
310059583001015,20
310059583001016,0
310059583001017,0
310059583001018,8
310059583001019,10
310059583001020,11
310059583001021,11
310059583001022,0
310059583001023,9
310059583001024,6
310059583001025,40
310059583001026,0
310059583001027,0
310059583001028,0
310059583001029,0
310059583001030,0
310059583001031,0
310059583001032,8
310059583001033,0
310059583001034,0
310059583001035,5
310059583001036,8
310059583001037,8
310059583001038,3
310059583001039,0
310059583001040,8
310059583001041,0
310059583001042,0
310059583001043,0
310059583001044,0
310059583001045,18
