ba,county_fips,state_name,county_name,population_year,population,normalized_ba_weather_weight
AEC,01001,Alabama,Autauga County,2020,56145,0.017021791349128172
AEC,01003,Alabama,Baldwin County,2020,229287,0.06951421271827503
AEC,01005,Alabama,Barbour County,2020,24589,0.0074547836402834204
AEC,01007,Alabama,Bibb County,2020,22136,0.006711094012009996
AEC,01011,Alabama,Bullock County,2020,9976,0.0030244793035693767
AEC,01013,Alabama,Butler County,2020,19504,0.005913135959985678
AEC,01015,Alabama,Calhoun County,2020,113469,0.03440102667368821
AEC,01017,Alabama,Chambers County,2020,32865,0.009963864505995144
AEC,01021,Alabama,Chilton County,2020,44397,0.013460084967980113
AEC,01025,Alabama,Clarke County,2020,23291,0.007061261774201519
AEC,01027,Alabama,Clay County,2020,13112,0.003975237833640905
AEC,01029,Alabama,Cleburne County,2020,14967,0.004537628482009108
AEC,01031,Alabama,Coffee County,2020,53230,0.01613803461597814
AEC,01035,Alabama,Conecuh County,2020,11851,0.003592933462971199
AEC,01037,Alabama,Coosa County,2020,10650,0.003228819625402352
AEC,01039,Alabama,Covington County,2020,36930,0.011196273123578297
AEC,01041,Alabama,Crenshaw County,2020,13681,0.004147744722547378
AEC,01045,Alabama,Dale County,2020,48959,0.014843171834748708
AEC,01047,Alabama,Dallas County,2020,36098,0.010944031064579727
AEC,01051,Alabama,Elmore County,2020,82158,0.0249082969750053
AEC,01053,Alabama,Escambia County,2020,36281,0.010999512190537346
AEC,01055,Alabama,Etowah County,2020,102371,0.031036384401132783
AEC,01061,Alabama,Geneva County,2020,26411,0.00800716949544615
AEC,01067,Alabama,Henry County,2020,17223,0.005221592526601381
AEC,01069,Alabama,Houston County,2020,106580,0.032312450298158
AEC,01081,Alabama,Lee County,2020,166831,0.05057908046248824
AEC,01085,Alabama,Lowndes County,2020,9641,0.002922915493756251
AEC,01087,Alabama,Macon County,2020,17895,0.005425326497330994
AEC,01099,Alabama,Monroe County,2020,20459,0.006202668611841006
AEC,01101,Alabama,Montgomery County,2020,224639,0.06810505275406187
AEC,01105,Alabama,Perry County,2020,8687,0.0026336860174526037
AEC,01109,Alabama,Pike County,2020,32966,0.009994485236714923
AEC,01111,Alabama,Randolph County,2020,22920,0.006948783644527878
AEC,01113,Alabama,Russell County,2020,58237,0.017656034603244768
AEC,01115,Alabama,Shelby County,2020,90739,0.027509846383979717
AEC,01117,Alabama,St. Clair County,2020,221428,0.06713155605761427
AEC,01121,Alabama,Talladega County,2020,79985,0.024249496501202547
AEC,01123,Alabama,Tallapoosa County,2020,40133,0.012167344415612449
AEC,01129,Alabama,Washington County,2020,15976,0.0048435326136552085
AEC,01131,Alabama,Wilcox County,2020,10206,0.0030942096804560002
AEC,12005,Florida,Bay County,2020,171322,0.051940641865087483
AEC,12013,Florida,Calhoun County,2020,14078,0.004268105416564724
AEC,12033,Florida,Escambia County,2020,322364,0.09773288354208486
AEC,12045,Florida,Gulf County,2020,13534,0.004103177916450275
AEC,12059,Florida,Holmes County,2020,19594,0.005940421759636966
AEC,12063,Florida,Jackson County,2020,46085,0.013971845299217595
AEC,12091,Florida,Okaloosa County,2020,212820,0.06452182090874446
AEC,12113,Florida,Santa Rosa County,2020,189139,0.05734232066938737
AEC,12131,Florida,Walton County,2020,76648,0.023237799685243143
AEC,12133,Florida,Washington County,2020,25932,0.007861948406190967
AECI,05035,Arkansas,Crittenden County,2020,47616,0.006180252965167676
AECI,19007,Iowa,Appanoose County,2020,12430,0.0016133346849175531
AECI,19051,Iowa,Davis County,2020,9051,0.0011747620461133367
AECI,19053,Iowa,Decatur County,2020,7769,0.0010083666264782357
