county_fips,block_rows,block_population
01001,1512,58805
01003,6337,231767
01005,1283,25223
01007,1090,22293
01009,2404,59134
01011,573,10357
01013,1238,19051
01015,4873,116441
01017,1717,34772
01019,1565,24971
01021,1749,45014
01023,852,12665
01025,1282,23087
01027,1216,14236
01029,1094,15056
01031,1887,53465
01033,2927,57227
01035,956,11597
01037,936,10387
01039,2537,37570
01041,926,13194
01043,3822,87866
01045,1971,49326
01047,2008,38462
01049,3636,71608
01051,2487,87977
01053,2315,36757
01055,4186,103436
01057,1245,16321
01059,1854,32113
01061,1958,26659
01063,856,7730
01065,874,14785
01067,1112,17146
01069,3612,107202
01071,3186,52579
01073,24469,674721
01075,1178,13972
01077,3444,93564
01079,2017,33073
01081,3241,174241
01083,3568,103570
01085,653,10311
01087,1322,19532
01089,8447,388153
01091,1349,19323
01093,2463,29341
01095,3775,97612
01097,9916,414809
01099,1158,19772
01101,4793,228954
01103,4806,123421
01105,736,8511
01107,1114,19123
01109,1434,33009
01111,1419,21967
01113,1771,59183
01115,2665,91103
01117,6190,223024
01119,916,12345
01121,3904,82149
01123,2128,41311
01125,6567,227036
01127,3334,65342
01129,1025,15388
01131,748,10600
01133,1350,23540
02013,610,3420
02016,653,5232
02020,3709,291247
02050,1092,18666
02060,92,844
02063,1084,7102
02066,449,2617
02068,280,1619
02070,314,4857
02090,2867,95655
02100,213,2080
02105,640,2365
02110,588,32255
02122,2700,58799
02130,632,13948
02150,977,13101
02158,642,8368
02164,638,1476
02170,2534,107081
02180,848,10046
02185,911,11031
02188,582,7793
02195,281,3398
02198,1649,5753
02220,715,8458
02230,112,1240
02240,712,6808
02275,313,2127
02282,232,662
02290,1499,5343
04001,7888,66021
04003,6235,125447
04005,9135,145101
04007,2436,53272
04009,1872,38533
04011,645,9563
04012,2316,16557
04013,61427,4420568
04015,10786,213267
04017,8194,106717
04019,16635,1043433
04021,12809,425264
04023,1419,47669
04025,7505,236209
04027,6142,203881
05001,1959,17149
05003,1481,19062
05005,1993,41627
05007,5942,284333
05009,2040,37373
05011,933,10545
05013,823,4739
05015,1517,28260
05017,989,10208
05019,1635,21446
05021,1588,14552
05023,1344,24711
05025,596,7550
05027,1386,22801
05029,1287,20715
05031,3204,111231
05033,2107,60133
05035,2107,48163
05037,1173,16833
05039,1075,6482
05041,1095,11395
05043,1221,17350
05045,2893,123498
05047,1377,17097
05049,1244,12075
05051,3910,100180
05053,1137,17958
05055,1794,45736
05057,1640,20065
05059,1907,33040
05061,1594,12785
05063,1827,37938
05065,1529,13577
05067,1559,16755
05069,3789,67260
05071,1545,25749
05073,984,6308
05075,1540,16216
05077,791,8600
05079,780,12941
05081,1269,12026
05083,1402,21131
05085,2270,74015
05087,825,16521
05089,1373,16826
05091,2035,42600
05093,2722,40685
05095,921,6799
05097,1041,8484
05099,1075,8310
05101,922,7225
05103,1609,22650
05105,934,10019
05107,1407,16568
05109,1458,10171
05111,1711,22965
05113,1836,19221
05115,2424,63381
05117,1100,8282
05119,9543,399125
05121,1183,18571
05123,1494,23090
05125,2956,123416
05127,1085,9836
05129,952,7828
05131,4057,127799
05133,1183,15839
05135,1495,17271
05137,777,12359
05139,2297,39054
05141,1462,15796
05143,5168,245871
05145,2743,76822
05147,838,6269
05149,1520,20263
06001,18475,1682353
06003,202,1204
06005,1181,40474
06007,4933,211632
06009,1863,45292
06011,1612,21839
06013,11772,1165927
06015,1387,27743
06017,4480,191185
06019,16854,1008654
06021,1768,28917
06023,7138,136463
06025,6570,179702
06027,2448,19016
06029,21365,909235
06031,3788,152486
06033,2905,68163
06035,2584,32730
06037,91626,10014009
06039,3863,156255
