state_name,state_abbreviation,state_FIPS,county_name,county_FIPS,county_pop_lat,county_pop_lon,wtk_gid,wtk_lat,wtk_lon,nsrdb_gid,nsrdb_lat,nsrdb_lon,bchrrr_gid,bchrrr_lat,bchrrr_lon,sup3rcc_gid,sup3rcc_lat,sup3rcc_lon
Alabama,AL,1000,Autauga County,01001,32.500197,-86.487818,1827777,32.49822,-86.487335,926773,32.49,-86.5,1827777,32.49822,-86.487335,627840,32.500755,-86.49
Alabama,AL,1000,Baldwin County,01003,30.537375,-87.761515,1772629,30.54324,-87.76813,900257,30.53,-87.78,1772629,30.54324,-87.76813,692712,30.526943,-87.75
Alabama,AL,1000,Barbour County,01005,31.844091,-85.301177,1891804,31.841358,-85.31064,951038,31.85,-85.3,1891804,31.841358,-85.31064,649991,31.827862,-85.32
Alabama,AL,1000,Bibb County,01007,33.032235,-87.136807,1790289,33.036755,-87.13205,913752,33.05,-87.14,1790289,33.036755,-87.13205,610126,33.03907,-87.12
Alabama,AL,1000,Blount County,01009,33.954605,-86.592575,1812051,33.957466,-86.58725,925138,33.97,-86.58,1812051,33.957466,-86.58725,580638,33.936264,-86.58
Alabama,AL,1000,Bullock County,01011,32.115906,-85.702397,1870054,32.12251,-85.69827,942799,32.13,-85.7,1870054,32.12251,-85.69827,641133,32.09702,-85.68
Alabama,AL,1000,Butler County,01013,31.776019,-86.652362,1824379,31.783787,-86.65192,923577,31.77,-86.66,1824379,31.783787,-86.65192,651436,31.783003,-86.67
Alabama,AL,1000,Calhoun County,01015,33.727216,-85.817938,1852023,33.732304,-85.82327,940278,33.73,-85.82,1852023,33.732304,-85.82327,588030,33.711964,-85.815
Alabama,AL,1000,Chambers County,01017,32.856442,-85.259676,1886249,32.861378,-85.25653,951838,32.85,-85.26,1886249,32.861378,-85.25653,616067,32.85963,-85.275
Alabama,AL,1000,Cherokee County,01019,34.180503,-85.62989,1858505,34.171104,-85.621826,944404,34.17,-85.62,1858505,34.171104,-85.621826,573284,34.16056,-85.635
Alabama,AL,1000,Chilton County,01021,32.879144,-86.688902,1814258,32.884956,-86.69415,922737,32.89,-86.7,1814258,32.884956,-86.69415,616036,32.85963,-86.67
Alabama,AL,1000,Choctaw County,01023,32.016122,-88.262418,1736052,32.020733,-88.254364,889725,32.01,-88.26,1736052,32.020733,-88.254364,644026,32.0073,-88.245
Alabama,AL,1000,Clarke County,01025,31.683493,-87.815825,1762100,31.69255,-87.821075,899359,31.69,-87.82,1762100,31.69255,-87.821075,654361,31.693285,-87.795
Alabama,AL,1000,Clay County,01027,33.274343,-85.817183,1855246,33.27316,-85.827484,940289,33.29,-85.82,1855246,33.27316,-85.827484,602780,33.263367,-85.815
Alabama,AL,1000,Cleburne County,01029,33.62522,-85.495735,1869080,33.622314,-85.486694,946879,33.61,-85.5,1869080,33.622314,-85.486694,590987,33.622246,-85.5
Alabama,AL,1000,Coffee County,01031,31.353218,-85.899579,1865780,31.358929,-85.8992,938690,31.37,-85.9,1865780,31.358929,-85.8992,666203,31.334412,-85.905
Alabama,AL,1000,Colbert County,01033,34.724343,-87.681889,1749265,34.720837,-87.687775,901890,34.73,-87.7,1749265,34.720837,-87.687775,554064,34.743736,-87.66
Alabama,AL,1000,Conecuh County,01035,31.416416,-86.997511,1808514,31.416985,-87.0011,917082,31.41,-86.98,1808514,31.416985,-87.0011,663229,31.42413,-86.985
Alabama,AL,1000,Coosa County,01037,32.976885,-86.15622,1841036,32.977417,-86.1568,933789,32.97,-86.14,1841036,32.977417,-86.1568,611622,32.99421,-86.175
Alabama,AL,1000,Covington County,01039,31.28415,-86.409248,1840942,31.284325,-86.40073,928361,31.29,-86.42,1840942,31.284325,-86.40073,667667,31.289553,-86.4
Alabama,AL,1000,Crenshaw County,01041,31.747322,-86.296816,1843162,31.747211,-86.292145,930690,31.73,-86.3,1843162,31.747211,-86.292145,652919,31.738144,-86.31
Alabama,AL,1000,Cullman County,01043,34.162653,-86.832644,1798424,34.164333,-86.824585,920270,34.17,-86.82,1798424,34.164333,-86.824585,573257,34.16056,-86.85
Alabama,AL,1000,Dale County,01045,31.383858,-85.637702,1878495,31.385101,-85.638885,944474,31.37,-85.62,1878495,31.385101,-85.638885,664734,31.37927,-85.635
Alabama,AL,1000,Dallas County,01047,32.41182,-87.035326,1799471,32.406113,-87.04181,916244,32.41,-87.02,1799471,32.406113,-87.04181,630778,32.411037,-87.03
Alabama,AL,1000,DeKalb County,01049,34.452726,-85.817295,1846599,34.45073,-85.82364,940260,34.45,-85.82,1846599,34.45073,-85.82364,562955,34.47458,-85.815
Alabama,AL,1000,Elmore County,01051,32.558523,-86.225307,1841013,32.56221,-86.21759,932232,32.57,-86.22,1841013,32.56221,-86.21759,626371,32.545616,-86.22
Alabama,AL,1000,Escambia County,01053,31.085446,-87.280019,1795961,31.079498,-87.27905,910449,31.09,-87.3,1795961,31.079498,-87.27905,675022,31.065256,-87.3
Alabama,AL,1000,Etowah County,01055,34.012184,-86.025905,1839994,34.011112,-86.02463,936168,34.01,-86.02,1839994,34.011112,-86.02463,577700,34.02598,-86.04
Alabama,AL,1000,Fayette County,01057,33.726912,-87.7675,1751580,33.735233,-87.76691,900177,33.73,-87.78,1751580,33.735233,-87.76691,587987,33.711964,-87.75
Alabama,AL,1000,Franklin County,01059,34.463509,-87.793571,1745694,34.47164,-87.786194,900159,34.45,-87.78,1745694,34.47164,-87.786194,562911,34.47458,-87.795
Alabama,AL,1000,Geneva County,01061,31.094508,-85.781409,1873167,31.091816,-85.789795,941170,31.09,-85.78,1873167,31.091816,-85.789795,673581,31.110115,-85.77
Alabama,AL,1000,Greene County,01063,32.833836,-87.924533,1749161,32.83256,-87.92111,896733,32.85,-87.94,1749161,32.83256,-87.92111,617483,32.814774,-87.93
Alabama,AL,1000,Hale County,01065,32.783296,-87.627917,1765696,32.78835,-87.62189,903669,32.77,-87.62,1765696,32.78835,-87.62189,618965,32.769913,-87.615
Alabama,AL,1000,Henry County,01067,31.469257,-85.271092,1897411,31.47026,-85.26196,951873,31.45,-85.26,1897411,31.47026,-85.26196,661792,31.468988,-85.275
Alabama,AL,1000,Houston County,01069,31.204795,-85.396331,1892894,31.210941,-85.38818,949407,31.21,-85.38,1892894,31.210941,-85.38818,670639,31.199833,-85.41
Alabama,AL,1000,Jackson County,01071,34.727292,-85.943413,1838934,34.72104,-85.93878,937785,34.73,-85.94,1838934,34.72104,-85.93878,554102,34.743736,-85.95
Alabama,AL,1000,Jefferson County,01073,33.517233,-86.811573,1804093,33.519096,-86.80347,920286,33.53,-86.82,1804093,33.519096,-86.80347,593908,33.532524,-86.805
