ba,wind_loss_pct,solar_loss_pct,notes
AEC,0.0,0.0,Global default from net-load config
AECI,0.0,0.0,Global default from net-load config
AVA,0.0,0.0,Global default from net-load config
AVRN,0.0,0.0,Global default from net-load config
AZPS,0.0,0.0,Global default from net-load config
BANC,0.0,0.0,Global default from net-load config
BPAT,0.0,0.0,Global default from net-load config
CHPD,0.0,0.0,Global default from net-load config
CISO,0.0,0.0,Global default from net-load config
CPLE,0.0,0.0,Global default from net-load config
CPLW,0.0,0.0,Global default from net-load config
DOPD,0.0,0.0,Global default from net-load config
DUK,0.0,0.0,Global default from net-load config
EPE,0.0,0.0,Global default from net-load config
ERCO,0.0,0.0,Global default from net-load config
FMPP,0.0,0.0,Global default from net-load config
FPC,0.0,0.0,Global default from net-load config
FPL,0.0,0.0,Global default from net-load config
GCPD,0.0,0.0,Global default from net-load config
GRIS,0.0,0.0,Global default from net-load config
GVL,0.0,0.0,Global default from net-load config
GWA,0.0,0.0,Global default from net-load config
HECO,0.0,0.0,Global default from net-load config
HST,0.0,0.0,Global default from net-load config
IID,0.0,0.0,Global default from net-load config
IPCO,0.0,0.0,Global default from net-load config
ISNE,0.0,0.0,Global default from net-load config
JEA,0.0,0.0,Global default from net-load config
LDWP,0.0,0.0,Global default from net-load config
LGEE,0.0,0.0,Global default from net-load config
MISO,0.0,0.0,Global default from net-load config
MISO_0001,0.0,0.0,Global default from net-load config
MISO_0004,0.0,0.0,Global default from net-load config
MISO_0006,0.0,0.0,Global default from net-load config
MISO_0027,0.0,0.0,Global default from net-load config
MISO_0035,0.0,0.0,Global default from net-load config
MISO_8910,0.0,0.0,Global default from net-load config
NBSO,0.0,0.0,Global default from net-load config
NEVP,0.0,0.0,Global default from net-load config
NSB,0.0,0.0,Global default from net-load config
NWMT,0.0,0.0,Global default from net-load config
NYIS,0.0,0.0,Global default from net-load config
PACE,0.0,0.0,Global default from net-load config
PACW,0.0,0.0,Global default from net-load config
PGE,0.0,0.0,Global default from net-load config
PJM,0.0,0.0,Global default from net-load config
PNM,0.0,0.0,Global default from net-load config
PSCO,0.0,0.0,Global default from net-load config
PSEI,0.0,0.0,Global default from net-load config
SC,0.0,0.0,Global default from net-load config
SCEG,0.0,0.0,Global default from net-load config
SCL,0.0,0.0,Global default from net-load config
SEC,0.0,0.0,Global default from net-load config
SEPA,0.0,0.0,Global default from net-load config
SOCO,0.0,0.0,Global default from net-load config
SPA,0.0,0.0,Global default from net-load config
SRP,0.0,0.0,Global default from net-load config
SWPP,0.0,0.0,Global default from net-load config
TAL,0.0,0.0,Global default from net-load config
TEC,0.0,0.0,Global default from net-load config
TEPC,0.0,0.0,Global default from net-load config
TIDC,0.0,0.0,Global default from net-load config
TPWR,0.0,0.0,Global default from net-load config
TVA,0.0,0.0,Global default from net-load config
WACM,0.0,0.0,Global default from net-load config
WALC,0.0,0.0,Global default from net-load config
WAUW,0.0,0.0,Global default from net-load config
WWA,0.0,0.0,Global default from net-load config
