County_FIPS,Year,Population
1001,2000,56145
1001,2001,56145
1001,2002,56145
1001,2003,56145
1001,2004,56145
1001,2005,56145
1001,2006,56145
1001,2007,56145
1001,2008,56145
1001,2009,56145
1001,2010,56145
1001,2011,56145
1001,2012,56145
1001,2013,56145
1001,2014,56145
1001,2015,56145
1001,2016,56145
1001,2017,56145
1001,2018,56145
1001,2019,56145
1001,2020,56145
1001,2021,56145
1001,2022,56145
1001,2023,56145
1001,2024,56145
1001,2025,56145
1001,2026,56145
1001,2027,56145
1001,2028,56145
1001,2029,56145
1001,2030,56145
1001,2031,56145
1001,2032,56145
1001,2033,56145
1001,2034,56145
1001,2035,56145
1001,2036,56145
1001,2037,56145
1001,2038,56145
1001,2039,56145
1001,2040,56145
1001,2041,56145
1001,2042,56145
1001,2043,56145
1001,2044,56145
1001,2045,56145
1001,2046,56145
1001,2047,56145
1001,2048,56145
1001,2049,56145
1001,2050,56145
1001,2051,56145
1001,2052,56145
1001,2053,56145
1001,2054,56145
1001,2055,56145
1001,2056,56145
1001,2057,56145
1001,2058,56145
1001,2059,56145
1001,2060,56145
1001,2061,56145
1001,2062,56145
1001,2063,56145
1001,2064,56145
1001,2065,56145
1001,2066,56145
1001,2067,56145
1001,2068,56145
1001,2069,56145
1001,2070,56145
1001,2071,56145
1001,2072,56145
1001,2073,56145
1001,2074,56145
1001,2075,56145
1001,2076,56145
1001,2077,56145
1001,2078,56145
1001,2079,56145
1001,2080,56145
1001,2081,56145
1001,2082,56145
1001,2083,56145
1001,2084,56145
1001,2085,56145
1001,2086,56145
1001,2087,56145
1001,2088,56145
1001,2089,56145
1001,2090,56145
1001,2091,56145
1001,2092,56145
1001,2093,56145
1001,2094,56145
1001,2095,56145
1001,2096,56145
1001,2097,56145
1001,2098,56145
1001,2099,56145
1003,2000,229287
1003,2001,229287
1003,2002,229287
1003,2003,229287
1003,2004,229287
1003,2005,229287
1003,2006,229287
1003,2007,229287
1003,2008,229287
1003,2009,229287
1003,2010,229287
1003,2011,229287
1003,2012,229287
1003,2013,229287
1003,2014,229287
1003,2015,229287
1003,2016,229287
1003,2017,229287
1003,2018,229287
1003,2019,229287
1003,2020,229287
1003,2021,229287
1003,2022,229287
1003,2023,229287
1003,2024,229287
1003,2025,229287
1003,2026,229287
1003,2027,229287
1003,2028,229287
1003,2029,229287
1003,2030,229287
1003,2031,229287
1003,2032,229287
1003,2033,229287
1003,2034,229287
1003,2035,229287
1003,2036,229287
1003,2037,229287
1003,2038,229287
1003,2039,229287
1003,2040,229287
1003,2041,229287
1003,2042,229287
