time_utc,wind_actual_mw
2023-01-01T00:00:00Z,7638
2023-01-01T01:00:00Z,8103
2023-01-01T02:00:00Z,9075
2023-01-01T03:00:00Z,8718
2023-01-01T04:00:00Z,8823
2023-01-01T05:00:00Z,9011
2023-01-01T06:00:00Z,9432
2023-01-01T07:00:00Z,9848
2023-01-01T08:00:00Z,9536
2023-01-01T09:00:00Z,9732
2023-01-01T10:00:00Z,10311
2023-01-01T11:00:00Z,10224
2023-01-01T12:00:00Z,10092
2023-01-01T13:00:00Z,8992
2023-01-01T14:00:00Z,7671
2023-01-01T15:00:00Z,6514
2023-01-01T16:00:00Z,5324
2023-01-01T17:00:00Z,4464
2023-01-01T18:00:00Z,4231
2023-01-01T19:00:00Z,3857
2023-01-01T20:00:00Z,3191
2023-01-01T21:00:00Z,2950
2023-01-01T22:00:00Z,2997
2023-01-01T23:00:00Z,3236
2023-01-02T00:00:00Z,3652
2023-01-02T01:00:00Z,3567
2023-01-02T02:00:00Z,3519
2023-01-02T03:00:00Z,3105
2023-01-02T04:00:00Z,3244
2023-01-02T05:00:00Z,3911
2023-01-02T06:00:00Z,4503
2023-01-02T07:00:00Z,4840
2023-01-02T08:00:00Z,5318
2023-01-02T09:00:00Z,5715
2023-01-02T10:00:00Z,5148
2023-01-02T11:00:00Z,4323
2023-01-02T12:00:00Z,3661
2023-01-02T13:00:00Z,4168
2023-01-02T14:00:00Z,5105
2023-01-02T15:00:00Z,6102
2023-01-02T16:00:00Z,5759
2023-01-02T17:00:00Z,4651
2023-01-02T18:00:00Z,3569
2023-01-02T19:00:00Z,3498
2023-01-02T20:00:00Z,4545
2023-01-02T21:00:00Z,6168
2023-01-02T22:00:00Z,8027
2023-01-02T23:00:00Z,10271
2023-01-03T00:00:00Z,11227
2023-01-03T01:00:00Z,11187
2023-01-03T02:00:00Z,11765
2023-01-03T03:00:00Z,13368
2023-01-03T04:00:00Z,14983
2023-01-03T05:00:00Z,15343
2023-01-03T06:00:00Z,14846
2023-01-03T07:00:00Z,14784
2023-01-03T08:00:00Z,15301
2023-01-03T09:00:00Z,15244
2023-01-03T10:00:00Z,15686
2023-01-03T11:00:00Z,15910
2023-01-03T12:00:00Z,15127
2023-01-03T13:00:00Z,14166
2023-01-03T14:00:00Z,13598
2023-01-03T15:00:00Z,13216
2023-01-03T16:00:00Z,12460
2023-01-03T17:00:00Z,12585
2023-01-03T18:00:00Z,13525
2023-01-03T19:00:00Z,13514
2023-01-03T20:00:00Z,12524
2023-01-03T21:00:00Z,12391
2023-01-03T22:00:00Z,12417
2023-01-03T23:00:00Z,13155
2023-01-04T00:00:00Z,13628
2023-01-04T01:00:00Z,13476
2023-01-04T02:00:00Z,13083
2023-01-04T03:00:00Z,12724
2023-01-04T04:00:00Z,12367
2023-01-04T05:00:00Z,12476
2023-01-04T06:00:00Z,12321
2023-01-04T07:00:00Z,11776
2023-01-04T08:00:00Z,11394
2023-01-04T09:00:00Z,10858
2023-01-04T10:00:00Z,10986
2023-01-04T11:00:00Z,10776
2023-01-04T12:00:00Z,10443
2023-01-04T13:00:00Z,10373
2023-01-04T14:00:00Z,10127
2023-01-04T15:00:00Z,10488
2023-01-04T16:00:00Z,11115
2023-01-04T17:00:00Z,11827
2023-01-04T18:00:00Z,12472
2023-01-04T19:00:00Z,12831
2023-01-04T20:00:00Z,12399
2023-01-04T21:00:00Z,12180
2023-01-04T22:00:00Z,12217
2023-01-04T23:00:00Z,12396
2023-01-05T00:00:00Z,12451
2023-01-05T01:00:00Z,12765
2023-01-05T02:00:00Z,13365
2023-01-05T03:00:00Z,13889
2023-01-05T04:00:00Z,14385
2023-01-05T05:00:00Z,14387
2023-01-05T06:00:00Z,14263
2023-01-05T07:00:00Z,13958
2023-01-05T08:00:00Z,13627
2023-01-05T09:00:00Z,13339
2023-01-05T10:00:00Z,13336
2023-01-05T11:00:00Z,12805
2023-01-05T12:00:00Z,12478
2023-01-05T13:00:00Z,13016
2023-01-05T14:00:00Z,13562
2023-01-05T15:00:00Z,13495
2023-01-05T16:00:00Z,13358
2023-01-05T17:00:00Z,12759
