ba_code,metric,scenario,source_path,wind_capacity_mw,solar_capacity_mw,total_capacity_mw,installed_wind_capacity_mw,installed_solar_capacity_mw,installed_total_capacity_mw,ba_type,has_load,has_wind,has_solar,has_renewable,peak_load_mw,average_load_mw
AEC,load_mw,installed_2024,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AEC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,0.0,0.0,0.0,0.0,0.0,load only,True,False,False,False,1285.94,544.469957
AECI,load_mw,installed_2024,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,959.4,1.5,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,net_load_mw__installed_2024,installed_2024,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,959.4,1.5,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,renew_cf_equiv__installed_2024,installed_2024,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,959.4,1.5,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,net_load_mw__split_w00_s100,split_w00_s100,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,960.9,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,renew_cf_equiv__split_w00_s100,split_w00_s100,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,960.9,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,net_load_mw__split_w25_s75,split_w25_s75,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,240.225,720.675,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,renew_cf_equiv__split_w25_s75,split_w25_s75,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,240.225,720.675,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,net_load_mw__split_w50_s50,split_w50_s50,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,480.45,480.45,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,renew_cf_equiv__split_w50_s50,split_w50_s50,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,480.45,480.45,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,net_load_mw__split_w75_s25,split_w75_s25,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,720.675,240.225,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,renew_cf_equiv__split_w75_s25,split_w75_s25,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,720.675,240.225,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
AECI,net_load_mw__split_w100_s00,split_w100_s00,data/wtk_bchrrr_nsrdb_2007_2023/ba_scenario_metrics/AECI_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,960.9,0.0,960.9,959.4,1.5,960.9,load + wind + solar,True,True,True,True,6095.02,2750.12495
